item,itemLabel
http://www.wikidata.org/entity/Q207599,MTV Europe Music Awards
http://www.wikidata.org/entity/Q193622,order
http://www.wikidata.org/entity/Q194195,amusement park
http://www.wikidata.org/entity/Q191328,tonal language
http://www.wikidata.org/entity/Q196600,media franchise
http://www.wikidata.org/entity/Q201658,film genre
http://www.wikidata.org/entity/Q205663,process
http://www.wikidata.org/entity/Q207174,personification
http://www.wikidata.org/entity/Q207326,summit
http://www.wikidata.org/entity/Q207694,art museum
http://www.wikidata.org/entity/Q208361,location in Harry Potter
http://www.wikidata.org/entity/Q209928,madhhab
http://www.wikidata.org/entity/Q210588,umbrella term
http://www.wikidata.org/entity/Q211584,vending machine
http://www.wikidata.org/entity/Q202444,given name
http://www.wikidata.org/entity/Q208500,principality
http://www.wikidata.org/entity/Q200538,party
http://www.wikidata.org/entity/Q210167,video game developer
http://www.wikidata.org/entity/Q200250,metropolis
http://www.wikidata.org/entity/Q193391,diplomat
http://www.wikidata.org/entity/Q207524,islet
http://www.wikidata.org/entity/Q209495,historical province of France
http://www.wikidata.org/entity/Q207320,paramilitary
http://www.wikidata.org/entity/Q207977,prototype
http://www.wikidata.org/entity/Q211503,clan
http://www.wikidata.org/entity/Q213477,teddy bear
http://www.wikidata.org/entity/Q207299,administrative region of Greece
http://www.wikidata.org/entity/Q213369,webcomic
http://www.wikidata.org/entity/Q192611,electoral district
http://www.wikidata.org/entity/Q205985,goddess
http://www.wikidata.org/entity/Q202866,animated film
http://www.wikidata.org/entity/Q202435,lieutenancy area of Scotland
http://www.wikidata.org/entity/Q203904,Middle-earth elf
http://www.wikidata.org/entity/Q212805,digital library
http://www.wikidata.org/entity/Q200764,bookstore
http://www.wikidata.org/entity/Q210826,thoroughbred
http://www.wikidata.org/entity/Q192283,news agency
http://www.wikidata.org/entity/Q209896,honorary degree
http://www.wikidata.org/entity/Q192350,ministry
http://www.wikidata.org/entity/Q205020,desktop environment
http://www.wikidata.org/entity/Q209163,video game expansion pack
http://www.wikidata.org/entity/Q194166,consortium
http://www.wikidata.org/entity/Q193495,monograph
http://www.wikidata.org/entity/Q213441,shop
http://www.wikidata.org/entity/Q4959031,appellate court
http://www.wikidata.org/entity/Q5588651,governing body
http://www.wikidata.org/entity/Q3707571,giant
http://www.wikidata.org/entity/Q191851,vase
http://www.wikidata.org/entity/Q193977,music video
http://www.wikidata.org/entity/Q209465,campus
http://www.wikidata.org/entity/Q212434,Olympic sport
http://www.wikidata.org/entity/Q192909,scandal
http://www.wikidata.org/entity/Q202216,overseas department and region of France
http://www.wikidata.org/entity/Q206696,Helvetic Republic
http://www.wikidata.org/entity/Q207601,American Music Awards
http://www.wikidata.org/entity/Q210272,cultural heritage
http://www.wikidata.org/entity/Q212930,online shopping
http://www.wikidata.org/entity/Q214183,secret police
http://www.wikidata.org/entity/Q206717,planetary system
http://www.wikidata.org/entity/Q206984,Billie Jean King Cup
http://www.wikidata.org/entity/Q200779,genetic disease
http://www.wikidata.org/entity/Q193432,fan
http://www.wikidata.org/entity/Q200539,dress
http://www.wikidata.org/entity/Q196741,destroyed church
http://www.wikidata.org/entity/Q193556,province of Sweden
http://www.wikidata.org/entity/Q13415392,appendage
http://www.wikidata.org/entity/Q193518,sabotage
http://www.wikidata.org/entity/Q211690,London borough
http://www.wikidata.org/entity/Q205178,child prodigy
http://www.wikidata.org/entity/Q207101,sociolect
http://www.wikidata.org/entity/Q209225,national liberation movement
http://www.wikidata.org/entity/Q211450,closed city
http://www.wikidata.org/entity/Q213907,model organism
http://www.wikidata.org/entity/Q210980,virtual community
http://www.wikidata.org/entity/Q14469439,centered polyhedral number
http://www.wikidata.org/entity/Q192619,crypt
