,Unnamed: 0,Unnamed: 0.1,node,rdf_type,is_wikidata,itemLabel,data_type,degree,to_keep,to_keep2
0,19,19,http://www.wikidata.org/entity/Q6581097,<class 'str'>,TRUE,male,1,17,0,0
1,129,129,http://www.wikidata.org/entity/Q33999,<class 'str'>,TRUE,actor,1,12,1,1
2,150,150,http://www.wikidata.org/entity/Q36180,<class 'str'>,TRUE,writer,1,15,1,1
3,184,184,http://www.wikidata.org/entity/Q36834,<class 'str'>,TRUE,composer,1,8,0,0
4,191,191,http://www.wikidata.org/entity/Q5,<class 'str'>,TRUE,human,1,32,1,1
5,246,246,http://www.wikidata.org/entity/Q3739104,<class 'str'>,TRUE,natural causes,0,10,0,0
6,322,322,http://www.wikidata.org/entity/Q28389,<class 'str'>,TRUE,screenwriter,1,10,0,0
7,868,868,http://www.wikidata.org/entity/Q67311526,<class 'str'>,TRUE,Obalky knih.cz,0,9,0,0
8,947,947,http://www.wikidata.org/entity/Q6636,<class 'str'>,TRUE,homosexuality,0,10,1,1
9,1191,1191,http://www.wikidata.org/entity/Q50920401,<class 'str'>,TRUE,"SAPA Foundation, Swiss Archive of the Performing Arts",2,13,0,0
10,1496,1496,http://www.wikidata.org/entity/Q25372,<class 'str'>,TRUE,drama,0,6,1,1
11,1693,1693,http://www.wikidata.org/entity/Q214917,<class 'str'>,TRUE,playwright,0,7,0,0
12,1804,1804,http://www.wikidata.org/entity/Q49757,<class 'str'>,TRUE,poet,1,7,0,0
13,1834,1834,http://www.wikidata.org/entity/Q6625963,<class 'str'>,TRUE,novelist,1,6,0,0
14,1954,1954,http://www.wikidata.org/entity/Q482980,<class 'str'>,TRUE,author,1,6,1,0
15,2197,2197,http://www.wikidata.org/entity/Q6173448,<class 'str'>,TRUE,Wikipedia:Vital articles/Level/4,2,6,0,0
16,2221,2221,http://www.wikidata.org/entity/Q64214265,<class 'str'>,TRUE,Wiki Loves Pride Art & Artists,2,6,1,1
17,2349,2349,http://www.wikidata.org/entity/Q23958341,<class 'str'>,TRUE,President of the Jury at the Cannes Festival,1,5,0,0
18,2354,2354,http://www.wikidata.org/entity/Q549750,<class 'str'>,TRUE,Milly-la-Forêt,3,5,1,0
19,2358,2358,http://www.wikidata.org/entity/Q99413897,<class 'str'>,TRUE,Medvik,2,5,0,0
20,2365,2365,http://www.wikidata.org/entity/Q7541856,<class 'str'>,TRUE,ceramicist,1,5,0,0
21,2376,2376,http://www.wikidata.org/entity/Q50632603,<class 'str'>,TRUE,Royal Collections of the Netherlands,2,5,0,1
22,2387,2387,http://www.wikidata.org/entity/Q150,<class 'str'>,TRUE,French,3,9,1,0
23,2389,2389,http://www.wikidata.org/entity/Q89929597,<class 'str'>,TRUE,hedendaagsesieraden.nl,2,5,0,0
24,2394,2394,http://www.wikidata.org/entity/Q49747,<class 'str'>,TRUE,Maurice Maeterlinck,4,5,0,0
25,2401,2401,http://www.wikidata.org/entity/Q7605588,<class 'str'>,TRUE,Design Museum Den Bosch,2,5,0,0
26,2404,2404,http://www.wikidata.org/entity/Q535,<class 'str'>,TRUE,Victor Hugo,4,5,1,0
27,2408,2408,http://www.wikidata.org/entity/Q926749,<class 'str'>,TRUE,Lycée Condorcet,3,5,0,0
28,2413,2413,http://www.wikidata.org/entity/Q19956441,<class 'str'>,TRUE,Jean Le Roy,4,5,1,0
29,2424,2424,http://www.wikidata.org/entity/Q1464509,<class 'str'>,TRUE,National Gallery of Victoria,2,5,1,0
30,2429,2429,http://www.wikidata.org/entity/Q12152,<class 'str'>,TRUE,myocardial infarction,0,6,1,1
31,2433,2433,http://www.wikidata.org/entity/Q71528227,<class 'str'>,TRUE,reproduction right represented by CISAC-member,0,5,0,0
32,2439,2439,http://www.wikidata.org/entity/Q2338135,<class 'str'>,TRUE,Musée national des beaux-arts du Québec,2,5,0,0
