,node,type
0,http://www.wikidata.org/entity/Q26668,human
1,http://www.wikidata.org/entity/Q12857,human
2,http://www.wikidata.org/entity/Q19154,human
3,http://www.wikidata.org/entity/Q313607,human
4,http://www.wikidata.org/entity/Q177011,human
5,http://www.wikidata.org/entity/Q17141,human
6,http://www.wikidata.org/entity/Q203690,human
7,http://www.wikidata.org/entity/Q106673,human
8,http://www.wikidata.org/entity/Q202449,human
9,http://www.wikidata.org/entity/Q264618,human
10,http://www.wikidata.org/entity/Q61429,human
11,http://www.wikidata.org/entity/Q358113,human
12,http://www.wikidata.org/entity/Q190231,human
13,http://www.wikidata.org/entity/Q166312,human
14,http://www.wikidata.org/entity/Q720599,human
15,http://www.wikidata.org/entity/Q125037,human
16,http://www.wikidata.org/entity/Q195691,human
17,http://www.wikidata.org/entity/Q230782,human
18,http://www.wikidata.org/entity/Q18724,human
19,http://www.wikidata.org/entity/Q193102,human
20,http://www.wikidata.org/entity/Q85563,human
21,http://www.wikidata.org/entity/Q813982,human
22,http://www.wikidata.org/entity/Q310046,human
23,http://www.wikidata.org/entity/Q256164,human
24,http://www.wikidata.org/entity/Q220536,human
25,http://www.wikidata.org/entity/Q316844,human
26,http://www.wikidata.org/entity/Q1257488,human
27,http://www.wikidata.org/entity/Q314771,human
28,http://www.wikidata.org/entity/Q257752,human
29,http://www.wikidata.org/entity/Q315340,human
30,http://www.wikidata.org/entity/Q382443,human
31,http://www.wikidata.org/entity/Q322060,human
32,http://www.wikidata.org/entity/Q271576,human
33,http://www.wikidata.org/entity/Q460352,human
34,http://www.wikidata.org/entity/Q485635,human
35,http://www.wikidata.org/entity/Q1285538,human
36,http://www.wikidata.org/entity/Q1369418,human
37,http://www.wikidata.org/entity/Q273210,human
38,http://www.wikidata.org/entity/Q1496715,human
39,http://www.wikidata.org/entity/Q1654116,human
40,http://www.wikidata.org/entity/Q360550,human
41,http://www.wikidata.org/entity/Q370864,human
42,http://www.wikidata.org/entity/Q380852,human
43,http://www.wikidata.org/entity/Q349248,human
44,http://www.wikidata.org/entity/Q452063,human
45,http://www.wikidata.org/entity/Q438164,human
46,http://www.wikidata.org/entity/Q2918612,human
47,http://www.wikidata.org/entity/Q2833041,human
48,http://www.wikidata.org/entity/Q307988,human
49,http://www.wikidata.org/entity/Q572741,human
50,http://www.wikidata.org/entity/Q490198,human
51,http://www.wikidata.org/entity/Q560516,human
52,http://www.wikidata.org/entity/Q3476242,human
53,http://www.wikidata.org/entity/Q5311807,human
