person,item
http://www.wikidata.org/entity/Q1110528,http://www.wikidata.org/entity/Q113080923
http://www.wikidata.org/entity/Q1343096,http://www.wikidata.org/entity/Q113080923
http://www.wikidata.org/entity/Q2085972,http://www.wikidata.org/entity/Q113080923
http://www.wikidata.org/entity/Q15855448,http://www.wikidata.org/entity/Q113080923
http://www.wikidata.org/entity/Q16006229,http://www.wikidata.org/entity/Q113080923
http://www.wikidata.org/entity/Q113076466,http://www.wikidata.org/entity/Q113080923
http://www.wikidata.org/entity/Q113076525,http://www.wikidata.org/entity/Q113080923
http://www.wikidata.org/entity/Q2085972,http://www.wikidata.org/entity/Q113081155
http://www.wikidata.org/entity/Q112819548,http://www.wikidata.org/entity/Q113081155
http://www.wikidata.org/entity/Q112819549,http://www.wikidata.org/entity/Q113081155
http://www.wikidata.org/entity/Q112819551,http://www.wikidata.org/entity/Q113081155
http://www.wikidata.org/entity/Q114869446,http://www.wikidata.org/entity/Q114869539
http://www.wikidata.org/entity/Q20084112,http://www.wikidata.org/entity/Q20084108
http://www.wikidata.org/entity/Q20084126,http://www.wikidata.org/entity/Q20084108
http://www.wikidata.org/entity/Q20088973,http://www.wikidata.org/entity/Q20084108
http://www.wikidata.org/entity/Q627256,http://www.wikidata.org/entity/Q31837672
http://www.wikidata.org/entity/Q698297,http://www.wikidata.org/entity/Q31837672
http://www.wikidata.org/entity/Q107125285,http://www.wikidata.org/entity/Q65751774
http://www.wikidata.org/entity/Q14151793,http://www.wikidata.org/entity/Q95149025
http://www.wikidata.org/entity/Q94833769,http://www.wikidata.org/entity/Q95149025
http://www.wikidata.org/entity/Q96112790,http://www.wikidata.org/entity/Q95149025
http://www.wikidata.org/entity/Q169167,http://www.wikidata.org/entity/Q96404611
http://www.wikidata.org/entity/Q1688746,http://www.wikidata.org/entity/Q100743737
http://www.wikidata.org/entity/Q108477296,http://www.wikidata.org/entity/Q100743737
http://www.wikidata.org/entity/Q112916331,http://www.wikidata.org/entity/Q100743737
http://www.wikidata.org/entity/Q112916335,http://www.wikidata.org/entity/Q100743737
http://www.wikidata.org/entity/Q112916336,http://www.wikidata.org/entity/Q100743737
http://www.wikidata.org/entity/Q112916372,http://www.wikidata.org/entity/Q100743737
http://www.wikidata.org/entity/Q698297,http://www.wikidata.org/entity/Q106097198
http://www.wikidata.org/entity/Q106097018,http://www.wikidata.org/entity/Q106097198
http://www.wikidata.org/entity/Q106097106,http://www.wikidata.org/entity/Q106097198
http://www.wikidata.org/entity/Q106097158,http://www.wikidata.org/entity/Q106097198
http://www.wikidata.org/entity/Q106097280,http://www.wikidata.org/entity/Q106097198
http://www.wikidata.org/entity/Q106097318,http://www.wikidata.org/entity/Q106097280
http://www.wikidata.org/entity/Q112916368,http://www.wikidata.org/entity/Q112813247
http://www.wikidata.org/entity/Q66458,http://www.wikidata.org/entity/Q115226
http://www.wikidata.org/entity/Q92363,http://www.wikidata.org/entity/Q115226
http://www.wikidata.org/entity/Q98746,http://www.wikidata.org/entity/Q115226
http://www.wikidata.org/entity/Q121500,http://www.wikidata.org/entity/Q115226
http://www.wikidata.org/entity/Q112916386,http://www.wikidata.org/entity/Q115226
http://www.wikidata.org/entity/Q115625066,http://www.wikidata.org/entity/Q115226
http://www.wikidata.org/entity/Q698297,http://www.wikidata.org/entity/Q871347
http://www.wikidata.org/entity/Q57322,http://www.wikidata.org/entity/Q1005589
http://www.wikidata.org/entity/Q57322,http://www.wikidata.org/entity/Q1008897
http://www.wikidata.org/entity/Q1009145,http://www.wikidata.org/entity/Q1202994
http://www.wikidata.org/entity/Q110736681,http://www.wikidata.org/entity/Q1626396
http://www.wikidata.org/entity/Q83443595,http://www.wikidata.org/entity/Q1637438
http://www.wikidata.org/entity/Q698297,http://www.wikidata.org/entity/Q1711366
